10462965929,223681939,2019-01-12 17:11:51,2019-01-12 17:13:18,174.255.198.182,,,,,I would want to talk to the colleague to see what their plans would be. I think the person who has the person the most important plans should be the one to take off. Sometimes it may be necessary for both partners to take off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10462964404,223681939,2019-01-12 17:09:28,2019-01-12 17:25:46,107.77.207.211,,,,,"It would depend on if I had already invested in the time (plane tickets, special permits, hotel rooms ect).  It would also depend on who asked first and if the policy was known beforehand or if the dipshit boss just made it up because they are a whiny asshat.     If I had invested in the dates, I would fight it.  If the policy was known then a request for time off schedule should have been posted so this situation would not happen in the first place.  It is not bloody hard to use an app or online calendar for such things so people can block out time off.    If I had to argue the point, I would hope the boss would take into consideration for senorita and such.      Also, why the hell would a company not have a quick turn around for vacation requests?  This seems an odd question since most places make you request the dates first and it would be a highly unlikely senator for two people to choose the same dates.  Ussually companies have strit holiday policies so that would have already been known. ",I would work on it right away so it was finished.  It is dumb to leave things till the last minute.  I would also hope that management would not be stupid enough to pile on work near deadline dates.      Hopefully the assignment does not have any reason to wait like waiting to hear from another coworker or another company.  That always sucks when you get stuck waiting on some other jackass to get back to you. ,"I would go anyway.  Once there, I would see if the get together would be fruitful or not.  If the people there are not smoozeable then I would head home early.  If I met some great people or brainstormed a good idea then sleep be damned I would stay late. ","It would depend on the feedback.  Reguardless, I would address my disagreements.  I would also provide alternative options or behaviors that could make us both happy.    It would also depend on the bonus... I would not give a shit if it was a pittence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10462960863,223681939,2019-01-12 17:05:02,2019-01-12 17:20:59,75.90.109.176,,,,,"I would probably just go ahead and change my vacation plans.  I never make permanent plans or reservations before ensuring that I am able to be on vacation.  If a colleague was unwilling or unable to change their plans it would not bother me to change mine.  I have always put work and my career as more important that vacation.  This has actually happened to me and since I was in a position that the week I needed was for a wedding, my colleague changed their plans.  I think what goes around comes around.",I would jump right on the project while my workload is light.  Since I can foresee that other priorities might arise I would definitely want to finish this project as quickly as possible.  This would make the project a lot less stressful.,I would go to the networking meeting.  It would be in the best interest of my job and possibly future opportunities to go to the meeting.  While I might feel uncomfortable not knowing anyone present I would definitely attend.  Never know who you might meet at one of these meetings.,"I would go to my desk and sit and go over in my mind exactly what the manager said when he was giving the feedback.  I would replay the situation to see how he came to his conclusion.  This would make me extremely angry which is not a good position to take on a discussion.  I would then make an appointment with the manager and reasonably and calmly ask why he thought my performance was inadequate and try to sell my case on a positive note.  If after my self reflection I realize he was correct in his negative feedback, I would still go back to my manager and talk with him with a pledge to improve.","I would find this extremely exciting and not at all boring.  I enjoy learning new things and would like the challenge of learning about Norway and the culture.  I would really like an opportunity to travel, but would accept that this might not happen.  ",Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Neutral; no opinion,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Disagree strongly,Agree a little,Neutral; no opinion,Agree strongly,Agree a little,Neutral; no opinion,Agree strongly,Agree a little,Disagree strongly,Disagree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Neutral; no opinion,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Female,United States,,White,,60 or older,Graduated from high school,A3PE20PVSRKCLA,PhKFt90qI1
10462959642,223681939,2019-01-12 17:03:25,2019-01-12 17:13:24,71.11.142.101,,,,,While I would state my dissatisfaction with the co-worker not willing to change their vacation plans I would pick a different week to take a vacation.,I would get started on the project right away and continue to work on it until the due date especially knowing that she will most likely through some last minute tasks my way.,Even though I would not know anyone there I would get the nerve to go by myself anyways ,I feel really bad and upset over this feedback and would immediately sit down for a long talk with my manager.,I think I would find it very interesting. I know nothing about the country and I think it would be cool to know more about it.,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree strongly,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Female,United States,,White,,30-39,Graduated from college (B.A./B.S.),A1HHOCO3ZZHCJZ,kV2oUJjfts
10462959574,223681939,2019-01-12 17:03:16,2019-01-12 17:28:03,181.37.40.151,,,,,"I wouldn't back down, when i ask for vacations it's because i have a reason for it, also i would had planned this for a long time, everyone would know about it weeks ago.","i would finish it as soon as possible, it's better to have everything done beforehand so i can have more free time for myself and in case that boss of mine comes with some unexpected task.","I would go anyway, it would be a good opportunity to meet the client and showing myself in an important situation. even if i don't know anyone, i would try to blend in.","I would talk to my manager about it, ask for an explanation of why i received such feedback. Then i would explain why this is not the case and ask for a review of it.","It depends on what kind of person the client is, but i think i would enjoy showing him/her around the city, i wouldn't find it boring to explain the rules and give some tips to this person.",Neutral; no opinion,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree a little,Neutral; no opinion,Disagree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Neutral; no opinion,Agree strongly,Neutral; no opinion,Agree a little,Disagree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Neutral; no opinion,Disagree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Agree a little,Male,United States,,White,,30-39,Graduated from college (B.A./B.S.),A232KB6BKXTLR,h52JW1Gd4l
10462958549,223681939,2019-01-12 17:01:50,2019-01-12 17:16:50,172.101.143.253,,,,,"If my vacation plans were flexible I would change them.  If not, I would discuss with my coworker to see what the reason was they would not change.  If their plans were not flexible either, I would discuss with my supervisor to see if we could come to a compromise - maybe each of us could do some work while on vacation.",I would begin working on the project as soon as I receive it.  Given that my other work is light and I may be getting last minute tasks I would want to work on the project due in 2 weeks so I would be able to complete it fully in time for the due date.  I would work on the other daily work in addition to be sure everything was completed.,Most likely I wouldn't go either if my coworker wasn't going.   I don't like social situations like that and would definitely be uncomfortable going alone.  I may ask to see if another coworker was available to go and if not I would not attend.,"I would express my views to my manager and be sure to submit them in writing as well.  If it was something I could prove did not occur, I would document the facts.  If my manager was not willing to change the feedback and it would affect my bonus, I would contact HR and discuss.",I think it would be an enjoyable experience.  I would like to learn about new countries and cultures and would find it interesting.  I would not want to travel but think it would be fun to learn some new things.,Disagree a little,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Disagree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Female,United States,,White,,50-59,Associates degree,AIVO25YWMF7CK,n3Tyy3K9Jt
10462958046,223681939,2019-01-12 17:01:11,2019-01-12 17:04:58,174.85.107.94,,,,,"I would talk to my coworker to find out why. We each have vacation plans but its possible one of us can change the date. Its possible that for making the sacrifice, the other can repay the other in covering shifts or some other way. I would also ask the boss if there was some alternative we could work out and both have our vacations.",d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10462956792,223681939,2019-01-12 16:59:03,2019-01-12 17:21:40,76.119.84.58,,,,,I would change my vacation to the next week. By changing weeks I would get a two week break from dealing with this employee. I would have talked to them and come to an agreement but they don't seem interested in that option.,I would complete the project completely in this time so I could handle any projects my boss may add on. By being finished with my initial project I could concentrate on the new work assignment.,I would still go to the meeting. Even though I don't know anyone yet it will be a great opportunity to network with new people. By going I am also showing my client that I value their relationship with me.,I would try to find evidence to disprove my boss' opinion of my work. I would try to show that I have been working hard and that the goals given to me in the past were taken seriously by me. I would try to show that I learn from my mistakes and grow from them.,I would find this enjoyable. I find other cultures very interesting. By becoming more educated in the culture of Norway I would also be a plus in dealing correctly with representatives from the company when they start contacting my company. Not all American customs are accepted by people in Norway.,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,White,,60 or older,Graduated from college (B.A./B.S.),,MrK5LUrNnz
10462953550,223681939,2019-01-12 16:55:01,2019-01-12 17:10:10,24.118.232.15,,,,,I would assess the entire situation. Since I am single and have no kids schedules to deal with I'd assess if my co-worker has kids. I would then talk privately with my co-worker. If after conversing with them I see that they have a better reason for needing to take their vacation at that time than me I would back off. If they didn't have a good reason I'd try to parlay my backing off into getting something from them in the future as a trade off. I'm a wheeler dealer and always land on my feet one way or another. ,I would do the project right away. I can't calm down unless my work is done no matter how far off it is. I get nervous if my taxes aren't done by mid February. If I start the task now I have a lot of time to perfect it. And if my boss throws more tasks at me I will have that extra time banked to get them done. ,"I would go anyway. I have no problem going places alone. Plus, if my co-worker doesn't go then my face and name will be the one they all remember. I told you I'm a wheeler dealer.",I would take a hard look at myself. If I really am certain that the assessment of my work is unfair I'd first try to talk to my manager and have them go over point by point with me why they feel I fell short. If at the end of that talk I think they are right I will ask how I can improve. If however I still think they are wrong I'd take it up with their boss and have them mediate.,"I would love this. In my 20's I moved overseas to Switzerland all alone. I knew no one, didn't know the language and didn't have a job set up in advance. I went on a whim and stayed 4 years. I love learning about new cultures.",Agree a little,Neutral; no opinion,Disagree strongly,Agree a little,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Disagree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Female,United States,,White,,50-59,Graduated from college (B.A./B.S.),A6YF5R5J1X7P7,AWSf4lGpTl
10462952981,223681939,2019-01-12 16:53:59,2019-01-12 17:26:38,174.26.72.105,,,,,I would just reschedule my vacation for the following week. I wouldn't make a big deal about it. I would definitely schedule my vacation for the next year alittle early to get the week I want.,"I would work on my project steadily while my work flow is slow. Just incase my boss gave me some last minute things to do- I'd still have adequate time. Overall, I'd try to get my project done as soon as possible. ",I would encourage my colleague to go since I didn't know anyone else. I'd know for sure if my colleague didn't go I'd still have to. I'd end up going with them and making the best impression I could.,I would ask my manager where I can look up the things he spoke about to find out more about it. I might call a different manager maybe higher up to discuss this with them. I may start looking for another job.,I would find this experience enjoying. I'd feel proud they chose me. I would be happy to get a change of atmosphere at work.,Agree a little,Neutral; no opinion,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Neutral; no opinion,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Neutral; no opinion,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Female,United States,,White,,30-39,Graduated from high school,AOTO7ZZQIJ3MZ,ZexGaKadHx
10462951703,223681939,2019-01-12 16:52:47,2019-01-12 17:03:20,71.81.216.221,,,,,"I would be willing to deal with my co-worker, with the understanding that they would owe me a favor. That's far more useful than having an angry co-worker, and I get to take the vacation anyway. I would try to cancel my plans to minimize loss of money.","I would try to get the project done early. This allows me to make minor tweaks leading up to. Since my schedule is light, I have the time to do it now, and it gives me time to complete my bosses' tasks as they come up.","I would go. You can always meet new people, and you never know who might turn up at an event like this. I would try to convince my co-worker to go, however, if they weren't dead set on not going.","I would feel really personally attacked. I would ask my other management team for feedback, or possibly upper levels of administration. I would also schedule time with my manager to discuss how they hope I address the feedback.","I would love to learn more about culture! I have an anthropology degree, so learning about culture is what I do. It would be a valuable experience to grow as a person without having to travel internationally.",Disagree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Neutral; no opinion,Agree strongly,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Agree strongly,Agree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Neutral; no opinion,Agree a little,Disagree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree a little,Disagree a little,Disagree a little,Disagree strongly,Agree a little,Female,United States,,White,,21-29,Completed graduate school,A3N7PKK87S0H21,JoUNgkHLFy
10462951175,223681939,2019-01-12 16:52:04,2019-01-12 16:53:16,50.25.42.129,,,,,"I would determine who has more seniority and if it is me, I would request that my vacation request be honored.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10462947920,223681939,2019-01-12 16:47:51,2019-01-12 17:04:30,208.71.221.91,,,,,I would change my vacation. I am not interested in causing a problem at work with another teammate. I don't feel like its a big deal and there is no need for us to both be gone at the same time.,I would get this project done as soon as possible. I do not like waiting until the last minute to get work done. I don't want it to be late and then me have such a workload that I am unable to finish this project.,I would definitely go to the meeting. I would really like it if my coworker was going but if he is unable to then I am still going to go. I will go and meet people and then I will enjoy the meeting.,I would sit down and think about the feedback I got from my manager. I would possibly go back and visit with my manager about the situation and see if it was fixable or how the negative feedback came about. I don't want to cause any problems but if it can be fixed I would like to fix it.,I would be willing to learn some things about the country. It maybe doesn't interest me but knowing that my client is from there I feel like I would be more interested in learning a few things.,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,White,,30-39,Graduated from high school,A13UMY3NL33676,BJP80Lu2WL
10462947022,223681939,2019-01-12 16:46:34,2019-01-12 17:01:15,71.200.43.89,,,,,"I would change my vacation gratiously so as to not cause an issue.  That is, as long as I had not paid ahead for hotel rooms and/or plane fares.  To me it is more important to have harmony at work than to press such an issue unnecessarily.","I would complete the project early.  That way if my boss gave me additional work, I would have time to do it as well.  I would do this so as to not cause any issues with my job.",I would go to the meeting anyway.  I don't feel that my colleague's absence would hinder my progress at the meeting.  It would give me a chance to get to know the other participants without anyones influence or interference.,"I would approach my manager with my concerns and ask exactly what the issue is and why he/she believes it to be true.  I would be honest but not just ""lie down and take it"" without giving it an honest try.  I would stand up for my rights.  I feel that my manager would appreciate my honesty.",I would find this experience very interesting.  I have always wanted to learn more about other countries.  I would happily volunteer to be involved in this project.,Agree a little,Agree a little,Disagree strongly,Agree a little,Neutral; no opinion,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Neutral; no opinion,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,White,,60 or older,Graduated from high school,A2A1JQRIOBJVBH,MrK5LUrNnz
10462946042,223681939,2019-01-12 16:45:20,2019-01-12 17:03:24,45.23.30.121,,,,,"I would ask my colleague why they are unable or will not change their vacation plans.  It's possible my colleague has a good reason for only being able to go on vacation that week.  I would also determine whether that week is absolutely the only week I can go on vacation.  If my colleague absolutely can't go a different week on vacation and I can, then I would be willing to change my vacation week.","I would start on the project early since I know there is a good chance my boss may give me some extra tasks.  By starting early, there is a chance I may finish the project early and be able to handle anything unexpected that occurs.  I will always be less stressed if a bunch of work tasks start piling up near the due date of the project.","I would feel extremely nervous going by myself, so I would ask my colleague why they are thinking about not going.  Hopefully, I would be able to to convince them to come with me.  If I can't convince my colleague, I would likely still go because it would be a good opportunity.  I wouldn't want to miss out just because I felt anxious about going by myself.","I would ask my other colleagues for their honest opinion on the feedback I received.  If the feedback is true, then I would likely except the situation.  If the feedback seems really surprising to my colleague, then I would ask my manager about specific instances that lead to my negative feedback.  I would feel upset if the review was not a fair one.",I would likely find this experience somewhat exciting.  I love learning about new things and learning about a new culture would be fun.  I would get a chance to learn more about the history of the country and the king of things that people from that culture prefer.,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Disagree a little,Agree strongly,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Agree strongly,Agree a little,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Disagree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Female,United States,,White,,21-29,Associates degree,AE63GABJL0FGJ,yZfoSuS9xA
10462944644,223681939,2019-01-12 16:43:38,2019-01-12 16:54:25,74.64.226.56,,,,,"I would first determine whether my colleague already had bookings (e.g. hotel room, plane tickets). If they did and I did not, I would cede the time to them. However, if I did and they did not, I would make the case for the time to be given to me. If neither of us had any plans booked already, I would determine whether either of us had a reason that we had to take the vacation that specific week (e.g. family wedding).","Realistically, I would probably put off a lot of the work until the last minute, because that is how I tend to work. I am most productive and work best under pressure. I would try to do it with enough time to allow for last minute tasks.","Most likely if they decide not to go I would also not go because I would feel uncomfortable. However, if there is a potential big reward for going (e.g. a high-income project) then I would consider going. ","I would feel angry and upset. I would try to take a step back and calm down before further addressing the situation. Once I felt calmer, I would address the manager and offer reasons why I felt their feedback was not accurate.","I would find it enjoyable, although I would much prefer being able to travel as part of the opportunity. However, even just learning about a different culture may provide something different and interesting.",Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Disagree strongly,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Neutral; no opinion,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,White,,21-29,Completed graduate school,A3IZ32ITL4HWFS,kV2oUJjfts
10462944600,223681939,2019-01-12 16:43:26,2019-01-12 17:02:22,98.13.22.212,,,,,I would try to convince him to switch. Or I would make a deal with him for the same vacation time for next year's vacation. I would do this to put choice in the equation.,I would complete the project first. I would want to be prepared to any other tasks they may be assigned to me. It makes for a more efficient working style. ,"I would attend this meeting. Even though I am tired, I would want to keep my client happy. While there you may want to be outgoing and begin conversations with people you're not familiar with. ",I would ask to have a meeting with my manager. I would bring to her attention the reasons why this is untrue. If I have any evidence I would produce it.,I would find this experience enjoyable. I love learning new things. I also have a love for learning new about other cultures. ,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree a little,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Neutral; no opinion,Disagree a little,Agree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Agree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Agree a little,Disagree strongly,Agree a little,Neutral; no opinion,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Female,United States,,Black or African-American,,60 or older,Some graduate school,A3FQFIAR9R7QU6  ,wtZV0AIJX5
10462942381,223681939,2019-01-12 16:40:14,2019-01-12 16:45:14,69.207.40.34,,,,,"I would change my week, as long as my plans were not set in stone. I don't think I would pay for anything vacation related until I knew I could get that week off for sure. I think I might be upset with my co worker if she was not even willing to change her plans though.","I would do as much of the project as soon as I could, especially if my workload was light. I would leave nothing to the very end. If everything is done ahead of time, I would have an easier time taking on and completing last minute tasks, if needed.","I would feel uncomfortable going without my colleague, but I would probably still go. It would look very bad if no one showed up to a networking meeting with the largest client. My presence might also help with career advancement in the future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10462941601,223681939,2019-01-12 16:39:34,2019-01-12 16:41:37,24.224.76.224,,,,,"I am not willing to switch my vacation days either. I usually accommodate other people, so in this situation, it would be nice to accommodated. ",I would apply time management to ensure that the project gets completed correctly and on time. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
